Position;Crossing;Finishing;Volleys;Dribbling;BallControl;Agility;Interceptions
1;65;66;51;78;74;89;40
1;63;73;68;75;73;81;38
1;67;64;63;74;75;74;53
1;68;70;75;75;74;80;29
1;66;72;69;79;76;77;55
1;70;70;62;76;72;90;32
1;75;75;74;71;74;67;50
1;71;74;68;77;78;69;34
1;66;64;61;75;76;82;41
1;70;67;58;78;77;72;50
1;66;64;61;75;76;82;41
1;70;72;70;75;76;75;45
1;62;77;70;79;80;76;26
1;60;66;44;77;76;73;28
1;71;64;69;79;75;91;44
1;65;69;65;73;74;76;67
1;72;67;66;76;74;76;69
1;75;74;75;75;77;69;54
1;76;70;71;78;79;74;40
1;70;72;67;74;71;63;53
1;59;72;69;75;75;76;43
1;73;72;73;74;73;78;20
1;69;66;50;79;70;94;19
1;66;66;62;74;75;77;69
1;68;64;60;70;73;67;74
1;71;64;74;75;74;86;36
1;76;60;74;80;82;74;30
1;73;62;72;74;75;66;33
1;65;64;69;77;78;78;42
1;70;70;65;77;77;89;25
1;71;71;76;73;75;74;68
1;68;60;55;79;79;89;43
1;71;66;60;76;75;83;28
1;71;50;64;76;80;77;66
1;65;70;69;77;78;76;46
1;59;65;60;78;77;75;52
1;68;69;69;74;74;70;31
1;57;72;58;67;74;69;66
1;67;72;59;77;73;79;55
1;64;75;58;76;76;85;27
1;68;64;75;75;77;70;60
1;68;67;59;78;74;81;15
1;65;73;46;74;73;72;22
1;74;67;72;77;78;74;62
1;64;78;70;70;74;80;31
1;80;65;58;72;76;71;55
1;65;67;69;75;80;75;45
1;76;66;64;71;73;66;59
1;65;73;66;79;75;88;30
1;72;62;69;75;76;72;50
1;70;70;66;74;76;83;32
1;72;71;64;78;77;82;37
1;72;65;72;72;76;75;54
1;78;65;53;74;75;77;60
1;71;66;62;79;79;79;19
1;75;66;54;79;74;78;30
1;76;70;68;72;75;72;71
1;76;66;72;72;75;81;47
1;56;68;52;72;72;83;29
1;72;63;62;74;80;70;35
1;69;69;64;75;73;84;42
1;36;73;74;71;72;76;55
1;63;62;64;73;75;77;60
1;72;56;75;69;78;60;56
1;67;76;70;62;66;59;47
1;72;72;74;74;70;73;21
1;72;69;57;75;74;71;56
1;58;67;47;74;75;73;41
1;65;66;59;72;73;81;24
1;74;66;72;73;71;82;42
1;63;51;68;76;74;90;72
1;63;76;77;67;73;62;60
1;67;69;64;73;75;64;61
1;64;65;59;76;75;81;42
1;71;72;59;70;73;72;27
1;65;62;54;76;75;91;25
1;70;70;68;68;72;68;44
1;64;61;43;73;76;86;58
1;67;61;66;73;77;71;63
1;73;75;62;78;73;78;32
1;65;69;68;69;71;73;69
1;72;68;66;77;75;83;40
1;73;66;70;72;73;69;54
1;58;68;61;78;70;88;30
1;66;74;65;70;74;66;25
1;68;63;68;78;78;75;28
1;61;66;59;71;74;80;71
1;67;57;71;78;75;70;39
1;77;65;66;75;73;77;61
1;71;65;62;77;76;69;53
1;71;66;70;76;77;84;40
1;69;68;65;79;76;73;36
1;70;54;66;87;81;88;38
1;64;71;61;78;75;77;32
1;69;71;50;77;71;74;43
1;74;68;74;73;77;74;48
1;65;69;49;72;69;79;54
1;59;58;58;78;76;93;56
1;67;70;64;75;74;80;31
1;66;60;65;73;75;55;67
1;67;66;61;73;71;79;42
1;60;61;41;74;78;61;58
1;68;58;63;73;75;81;40
1;78;60;58;69;70;66;58
1;58;64;51;75;76;82;29
1;64;71;62;73;74;74;36
1;75;66;74;70;72;75;45
1;71;69;63;71;73;66;59
1;51;55;43;72;71;80;46
1;72;61;71;72;75;76;22
1;69;52;45;70;73;68;65
1;72;64;68;71;73;65;52
1;71;68;58;73;72;77;31
1;65;68;61;69;70;85;36
1;59;75;70;67;74;69;60
1;65;59;69;81;79;68;26
1;80;65;78;70;76;75;33
1;64;68;66;78;75;83;26
1;72;60;59;74;75;76;28
1;67;67;73;67;70;82;55
1;59;71;59;71;73;68;36
1;59;71;66;68;70;75;53
1;59;70;44;72;71;70;68
1;67;69;68;74;74;73;26
1;75;69;61;70;73;80;41
1;68;52;68;78;78;78;58
1;58;68;53;78;76;85;17
1;70;67;65;73;71;93;42
1;57;58;56;69;69;63;62
1;64;66;60;72;75;83;47
1;61;68;65;72;73;77;60
1;71;63;62;73;72;77;55
1;59;62;63;72;72;80;60
1;63;71;60;75;73;77;36
1;71;62;64;70;74;81;43
1;64;68;62;79;73;76;42
1;71;62;45;74;71;73;40
1;69;59;58;73;73;83;57
1;57;67;67;69;71;71;31
1;64;68;58;74;74;72;22
1;56;70;68;71;73;53;46
1;69;62;53;71;73;77;36
1;64;58;63;72;78;71;29
1;72;69;52;74;72;67;48
1;73;69;59;67;78;79;55
1;70;61;65;70;71;76;62
1;52;68;58;73;73;67;30
1;65;55;61;76;74;83;24
1;58;70;59;71;72;71;64
1;67;69;67;68;76;59;54
1;73;66;75;71;71;70;49
1;65;70;49;71;70;74;45
1;71;69;72;69;72;81;62
1;75;68;70;68;72;77;65
1;66;68;63;71;71;78;41
1;53;59;52;73;73;72;46
1;74;64;70;67;75;68;45
1;65;67;58;73;71;78;54
1;62;61;60;78;75;79;38
1;61;71;54;69;68;78;34
1;63;66;63;72;74;67;70
1;61;70;58;67;71;62;69
1;71;63;67;70;74;75;61
1;67;56;53;76;75;77;29
1;67;51;74;70;73;65;40
1;59;62;64;69;72;67;58
1;77;67;75;69;71;88;44
1;72;67;60;69;73;62;57
1;64;64;66;75;76;87;34
1;69;61;63;69;73;75;68
1;47;70;57;72;73;66;53
1;63;67;65;67;72;67;62
1;54;67;58;75;76;74;20
1;64;62;56;72;70;68;51
1;70;68;65;70;68;75;58
1;62;55;50;74;72;82;33
1;68;66;69;67;71;72;58
1;64;65;52;68;68;77;46
1;63;68;70;71;71;68;57
1;70;60;59;69;74;66;66
1;61;66;49;74;75;81;39
1;67;63;57;64;72;61;49
1;69;62;63;69;70;80;44
1;66;67;63;71;70;62;39
1;68;63;47;74;70;84;50
1;63;65;60;78;75;85;29
1;62;57;61;68;69;76;68
1;66;62;71;72;67;81;40
1;63;62;75;67;73;70;54
1;65;70;51;74;72;62;33
1;59;50;50;75;73;81;51
1;64;68;58;74;71;69;33
1;65;61;61;72;77;83;43
1;60;68;65;71;71;72;46
1;66;66;65;74;72;69;33
1;64;61;51;73;74;90;39
1;57;72;64;64;63;70;61
1;69;61;59;71;69;80;43
1;68;68;62;72;67;79;32
1;68;64;64;70;72;76;23
1;70;69;63;73;75;75;51
1;64;49;47;74;74;90;41
1;59;59;64;74;73;91;31
1;61;62;67;72;74;69;20
1;70;66;53;71;70;73;58
1;56;67;72;72;70;72;30
1;77;61;62;70;75;64;62
1;66;58;58;75;74;71;40
1;67;61;68;68;72;77;43
1;63;55;62;70;76;34;65
1;66;65;64;73;73;73;29
1;66;58;37;73;69;82;13
1;65;63;65;69;71;67;63
1;68;70;68;75;71;70;37
1;64;71;59;72;70;78;36
1;70;63;57;73;74;76;42
1;69;61;64;68;69;75;51
1;63;64;51;68;73;74;32
1;65;58;53;70;71;77;26
1;64;69;56;72;69;87;31
1;65;66;45;73;72;77;20
1;61;66;56;75;75;80;43
1;74;52;66;68;74;67;64
1;58;65;66;68;69;94;22
1;66;68;61;70;73;73;30
1;61;52;42;69;72;74;53
1;64;63;39;68;72;77;56
1;40;73;71;69;71;46;16
1;56;65;65;74;71;87;24
1;66;66;50;67;68;77;43
1;63;67;62;71;70;88;18
1;60;67;59;75;71;69;34
1;54;61;50;74;69;78;42
1;71;59;72;68;74;73;53
1;62;61;46;71;73;72;29
1;55;67;68;68;70;63;46
1;61;51;54;73;72;76;52
1;63;62;51;70;73;67;56
1;70;62;63;67;68;76;59
1;62;67;56;69;70;63;37
1;69;65;64;67;69;67;60
1;55;62;64;67;69;68;65
1;58;64;58;69;71;73;31
1;62;58;54;74;74;73;49
1;64;45;64;76;72;87;30
1;62;65;62;74;70;67;22
1;52;68;52;53;75;51;22
1;67;69;72;64;67;74;22
1;50;69;68;69;68;80;17
1;66;62;60;73;70;83;65
1;60;62;61;65;72;78;62
1;64;62;63;73;75;59;63
1;69;63;70;68;68;71;42
1;64;68;48;69;70;70;22
1;61;60;70;74;73;76;41
1;62;70;58;74;72;88;25
1;50;56;36;70;71;70;22
1;63;63;61;75;73;74;31
1;70;72;65;68;71;72;37
1;55;55;59;69;66;86;23
1;72;60;68;66;69;58;64
1;71;63;41;70;71;80;25
1;67;64;56;73;70;72;53
1;60;33;48;63;64;34;72
1;60;57;59;68;72;72;34
1;65;68;52;72;70;80;18
1;65;67;61;66;68;70;54
1;60;64;63;67;70;68;54
1;66;64;55;68;69;67;65
1;67;59;63;68;71;69;46
1;71;62;75;64;71;76;28
1;70;57;60;71;71;82;37
1;54;58;35;75;67;71;39
1;76;55;69;72;71;61;67
1;45;55;65;66;73;95;25
1;49;65;52;65;69;57;64
1;64;64;61;66;69;79;58
1;68;58;67;70;71;92;11
1;64;64;60;68;69;74;23
1;62;63;54;68;73;69;32
1;60;55;63;69;70;76;20
1;66;62;61;69;67;78;35
1;57;65;53;70;70;69;36
1;58;63;60;75;66;87;53
1;69;61;53;67;74;71;67
1;58;67;71;71;70;86;48
1;62;69;67;73;68;77;40
1;57;71;63;64;72;79;57
1;65;49;50;73;70;73;25
1;55;67;66;68;63;82;33
1;63;61;56;71;69;77;21
1;42;69;49;73;69;71;20
1;48;65;62;67;68;74;37
1;67;59;62;75;73;90;28
1;63;67;44;67;67;75;21
1;70;60;56;66;70;74;52
1;64;65;61;67;70;91;41
1;61;62;58;74;71;77;32
1;57;65;56;68;72;78;48
1;65;66;61;70;68;70;49
1;55;71;52;75;65;40;33
1;54;60;47;75;67;80;41
1;55;62;51;73;70;50;23
1;65;60;55;72;73;74;49
1;64;63;59;70;70;80;18
1;46;69;34;65;67;67;65
1;69;63;72;66;70;76;34
1;50;69;67;64;69;66;49
1;66;59;64;71;72;82;24
1;74;52;50;72;66;72;58
1;59;53;42;76;73;85;47
1;62;65;55;67;69;74;58
1;65;66;62;75;69;72;22
1;54;62;50;68;68;86;20
1;65;64;64;74;71;82;28
1;69;65;55;71;70;67;46
1;47;66;58;66;70;69;63
1;63;60;57;70;68;71;49
1;65;58;36;69;71;73;42
1;70;57;52;66;68;87;22
1;59;55;52;73;68;78;43
1;65;58;59;72;75;73;38
1;51;52;35;79;72;62;47
1;64;70;57;70;70;83;23
1;66;74;58;69;68;50;60
1;50;62;45;70;71;79;28
1;66;64;64;68;68;74;41
1;63;61;67;67;64;77;24
1;69;67;69;75;69;82;16
1;67;62;57;70;69;66;53
1;46;60;58;66;68;77;43
1;60;66;64;68;70;76;55
1;71;59;59;65;67;70;57
1;66;54;62;71;69;83;38
1;59;65;45;71;70;78;31
1;63;65;66;64;68;70;40
1;58;53;53;68;70;76;44
1;70;58;57;67;67;70;35
1;68;70;66;66;70;71;58
1;65;54;62;64;69;60;66
1;63;63;56;68;70;82;51
1;58;65;53;72;71;74;31
1;68;57;57;68;65;91;32
1;63;65;65;66;65;67;56
1;63;62;66;66;66;77;56
1;61;64;61;68;70;67;34
1;68;58;61;65;71;63;51
1;61;66;68;67;69;60;63
1;62;65;72;69;69;68;34
1;60;60;63;72;65;58;25
1;73;45;47;71;72;81;44
1;65;59;46;70;72;74;59
1;62;50;46;67;66;79;24
1;64;57;52;64;68;76;37
1;62;60;57;72;73;75;30
1;52;59;46;69;71;70;40
1;52;68;70;66;71;68;53
1;72;66;57;63;70;42;61
1;66;55;59;76;77;68;20
1;72;50;59;72;75;62;45
1;68;50;56;73;69;77;35
1;61;61;57;68;68;83;37
1;74;54;49;63;71;53;23
1;62;62;62;69;66;81;32
1;69;54;62;66;68;72;62
1;66;65;61;63;63;74;55
1;64;53;56;66;65;68;49
1;53;57;48;76;72;82;44
1;50;57;53;67;68;62;24
1;50;74;76;67;70;68;30
1;64;58;60;72;70;68;36
1;67;62;49;70;71;70;38
1;63;51;61;71;69;90;28
1;60;57;52;72;71;77;32
1;64;63;51;64;63;81;27
1;64;64;65;66;67;70;41
1;60;63;44;70;68;82;33
1;45;58;57;70;71;81;18
1;47;51;65;66;70;59;25
1;64;66;66;71;69;67;18
1;52;68;67;65;69;58;33
1;67;53;63;68;69;71;25
1;61;61;45;74;69;78;24
1;71;53;47;72;72;91;23
1;51;63;38;71;70;82;30
1;63;70;59;68;63;54;49
1;45;61;71;61;69;74;60
1;65;63;52;68;65;82;45
1;52;60;54;69;71;66;24
1;58;68;62;71;67;69;48
1;60;46;41;66;61;80;25
1;47;64;50;68;72;71;43
1;68;58;56;66;65;76;57
1;48;61;62;65;64;86;52
1;59;64;63;67;68;55;28
1;48;71;58;64;74;71;17
1;47;59;59;70;72;81;30
1;64;63;56;72;70;88;26
1;63;56;64;66;65;84;32
1;61;56;56;68;60;91;30
1;66;64;44;65;69;68;24
1;50;64;56;66;70;65;45
1;43;67;59;70;66;86;20
1;64;58;70;62;72;65;51
1;65;58;54;66;67;73;24
1;62;62;54;63;69;64;41
1;62;53;55;63;66;65;57
1;53;52;63;70;71;69;47
1;49;55;49;71;70;76;58
1;34;58;38;69;71;82;43
1;60;58;42;68;62;76;49
1;51;47;53;73;72;89;26
1;57;58;59;67;68;76;36
1;65;65;64;64;66;71;35
1;51;63;60;67;69;69;53
1;58;61;51;63;64;71;38
1;54;64;55;63;67;63;32
1;52;62;44;65;68;73;38
1;58;54;61;70;66;77;50
1;59;64;55;68;71;88;50
1;67;64;60;65;68;66;46
1;35;59;34;62;61;57;41
1;63;60;55;68;66;55;22
1;59;65;51;67;68;72;64
1;64;63;61;67;64;76;59
1;54;52;59;63;66;75;55
1;62;66;58;61;63;63;57
1;45;56;51;68;66;78;27
1;61;58;43;66;65;69;44
1;64;50;62;65;75;70;70
1;67;54;49;67;64;80;54
1;63;61;54;66;64;56;22
1;60;60;53;65;72;58;22
1;66;53;52;66;69;67;61
1;53;62;52;67;70;71;31
1;56;56;53;69;68;82;32
1;69;49;47;68;66;71;18
1;73;62;62;64;67;62;36
1;59;55;40;72;69;81;26
1;54;52;65;74;67;93;25
1;54;57;44;68;67;78;40
1;39;61;30;65;69;60;38
1;45;65;53;66;67;66;54
1;63;60;57;71;71;54;56
1;64;62;57;65;67;81;58
1;70;60;69;69;70;70;22
1;59;63;62;67;65;59;33
1;62;58;58;73;72;86;20
1;60;59;44;67;69;69;34
1;59;45;45;69;68;87;58
1;63;66;59;65;65;77;43
1;62;58;63;71;70;68;56
1;52;67;58;67;66;87;45
1;58;62;52;65;68;58;43
1;59;44;54;65;71;65;42
1;39;57;39;64;69;46;54
1;66;62;70;67;68;69;43
1;65;62;62;67;67;81;48
1;60;68;66;65;67;71;26
1;59;58;55;64;63;78;51
1;62;60;61;70;64;69;11
1;60;64;56;65;65;72;52
1;55;60;53;71;67;79;29
1;62;60;63;62;66;66;55
1;57;60;52;67;66;72;33
1;56;55;50;68;66;92;25
1;41;49;40;70;63;51;24
1;46;57;52;67;71;71;39
1;40;58;45;56;62;50;60
1;65;60;54;66;64;71;22
1;58;57;56;71;68;82;29
1;54;59;38;66;66;85;53
1;45;52;54;65;65;64;62
1;62;52;52;66;65;89;26
1;60;45;38;68;67;72;52
1;42;59;59;66;68;76;55
1;59;55;64;68;68;84;38
1;52;57;53;74;74;69;29
1;55;53;63;68;65;80;18
1;49;65;56;65;67;81;20
1;61;49;62;61;67;78;63
1;48;58;32;65;62;66;52
1;62;54;44;69;67;62;42
1;55;54;39;68;63;72;19
1;52;58;67;64;66;74;42
1;68;52;49;63;59;84;38
1;62;60;62;63;65;68;59
1;37;61;66;68;67;86;48
1;45;48;42;68;67;70;21
1;63;63;49;70;67;73;30
1;67;62;68;67;70;74;25
1;48;52;39;67;63;79;19
1;57;59;32;62;67;70;46
1;57;60;59;71;65;77;25
1;60;59;54;68;65;70;36
1;50;45;53;68;66;73;31
1;55;57;57;74;72;71;32
1;61;64;74;65;69;78;38
1;66;55;57;69;67;83;48
1;71;66;63;62;71;71;31
1;61;57;36;65;64;90;51
1;71;63;62;67;64;83;35
1;52;49;45;57;66;63;38
1;44;55;46;70;63;72;59
1;51;49;52;66;72;68;40
1;58;56;49;63;65;86;51
1;54;60;56;63;63;80;28
1;60;60;63;68;69;75;27
1;58;54;50;60;61;87;52
1;55;61;65;61;64;75;34
1;45;38;36;58;61;54;58
1;47;56;53;66;63;84;22
1;55;57;55;67;64;78;50
1;53;57;44;61;63;67;37
1;61;59;63;70;67;65;24
1;59;58;52;62;64;76;50
1;42;58;52;75;68;82;29
1;53;58;63;71;68;72;29
1;51;54;54;61;61;44;22
1;56;57;63;64;62;78;42
1;42;53;46;66;66;77;23
1;55;50;50;65;67;79;25
1;63;59;42;69;68;63;18
1;64;53;68;62;64;72;22
1;63;44;47;59;65;74;30
1;59;65;54;68;68;64;28
1;64;59;42;65;66;77;60
1;53;62;54;57;64;69;62
1;63;55;63;68;61;72;32
1;62;62;50;70;68;70;39
1;58;53;42;68;67;75;33
1;64;55;49;63;64;75;50
1;70;65;34;63;63;57;47
1;58;64;60;64;60;71;22
1;23;23;34;23;33;29;57
1;59;65;41;66;64;84;48
1;61;44;32;57;66;66;68
1;50;60;35;68;65;60;46
1;64;50;51;69;64;87;50
1;63;54;52;70;64;72;28
1;59;60;59;67;64;77;22
1;58;55;45;67;62;70;59
1;54;57;63;65;66;73;54
1;62;59;54;67;65;79;32
1;62;53;57;65;66;65;37
1;49;56;44;62;63;78;56
1;53;59;58;62;63;83;19
1;57;52;55;63;64;52;32
1;55;58;52;59;67;56;39
1;59;56;62;63;61;64;56
1;56;58;56;72;70;74;45
1;55;52;38;68;62;70;40
1;57;56;43;65;66;72;56
1;49;55;37;67;64;71;55
1;62;58;48;67;64;86;45
1;38;59;59;56;61;74;14
1;50;54;50;68;64;73;32
1;42;70;46;67;65;65;16
1;57;60;57;63;61;73;46
1;63;59;50;64;63;82;41
1;59;58;49;62;62;71;29
1;49;61;51;57;60;79;27
1;64;63;50;66;63;77;24
1;62;63;42;64;63;83;20
1;55;51;34;58;63;77;59
1;59;53;58;72;70;82;22
1;46;57;64;66;61;63;43
1;53;50;49;72;69;50;31
1;55;65;52;64;64;74;30
1;58;58;54;65;62;68;52
1;58;44;47;63;67;64;66
1;61;57;52;58;59;73;48
1;49;51;49;61;65;73;66
1;54;58;49;68;65;67;26
1;60;55;51;63;62;86;33
1;61;58;51;64;65;60;25
1;60;54;52;67;63;71;30
1;69;52;34;63;55;87;42
1;54;63;55;67;66;66;31
1;55;43;46;68;68;66;44
1;59;66;52;58;65;64;38
1;54;62;53;68;61;78;25
1;54;50;48;68;67;77;42
1;56;58;52;61;59;79;26
1;50;63;60;66;64;66;26
1;54;58;47;66;68;60;23
1;65;59;45;64;67;72;34
1;50;47;43;63;68;73;35
1;59;59;62;60;62;78;50
1;60;55;53;68;68;84;32
1;56;60;39;63;63;68;29
1;52;55;56;65;65;69;36
1;56;51;53;69;67;84;31
1;60;48;50;73;72;59;28
1;54;57;59;70;66;85;21
1;61;62;62;64;60;70;45
1;50;67;61;68;63;59;17
1;58;59;35;62;61;65;32
1;51;46;43;66;64;86;28
1;52;59;42;68;64;73;23
1;49;48;49;68;62;69;40
1;58;62;51;66;63;57;24
1;53;50;47;66;67;67;25
1;48;48;35;54;56;64;57
1;53;52;54;65;70;71;34
1;57;56;36;64;61;80;16
1;63;48;67;65;64;55;34
1;39;50;37;71;70;80;28
1;59;53;47;63;65;60;54
1;49;56;49;65;68;76;48
1;58;55;52;63;66;62;29
1;52;56;43;66;65;51;22
1;50;55;52;68;63;82;26
1;49;61;44;65;67;72;35
1;51;54;53;68;66;70;49
1;41;57;42;70;69;72;40
1;55;62;62;65;66;67;23
1;54;59;54;62;63;55;56
1;40;51;38;63;62;72;49
1;57;54;49;60;62;76;41
1;48;54;51;68;70;83;31
1;28;60;44;55;65;75;14
1;55;64;42;63;63;69;28
1;58;50;56;62;63;79;38
1;42;56;48;61;63;76;49
1;61;60;54;65;65;68;40
1;57;39;50;58;61;60;53
1;57;61;59;59;58;67;32
1;48;48;53;60;66;59;49
1;48;60;53;66;61;75;42
1;50;54;50;71;68;55;29
1;38;42;39;67;67;75;20
1;44;58;39;62;60;72;25
1;61;41;39;60;58;61;49
1;60;48;56;69;69;68;23
1;55;57;38;61;63;76;48
1;52;57;45;61;58;72;45
1;52;55;49;63;61;64;57
1;54;46;46;65;61;58;30
1;57;58;49;61;66;69;51
1;63;58;62;60;61;79;63
1;44;55;42;56;63;65;49
1;63;54;63;63;61;63;26
1;55;57;52;72;69;78;29
1;51;51;52;61;61;81;22
1;46;50;57;60;63;63;50
1;52;53;46;67;61;83;34
1;58;54;51;60;59;58;28
1;60;40;57;69;69;69;11
1;50;42;48;68;64;78;33
1;54;54;48;57;64;71;34
1;55;44;39;62;61;72;22
1;59;42;31;64;64;71;42
1;60;42;52;63;65;79;33
1;63;52;52;64;64;91;38
1;47;39;58;65;66;68;53
1;46;47;42;54;57;84;39
1;55;44;45;64;64;81;36
1;53;59;30;66;64;73;41
1;62;50;52;65;67;58;29
1;52;46;38;63;63;75;28
1;58;58;50;63;64;65;39
1;58;41;50;53;68;53;25
1;60;55;61;64;66;74;27
1;57;55;51;56;63;79;55
1;51;49;48;59;61;74;53
1;58;57;54;56;59;88;19
1;61;66;48;63;64;70;24
1;51;54;53;60;61;70;50
1;63;60;49;48;63;68;14
1;47;45;52;61;63;58;27
1;65;48;52;67;61;68;29
1;57;42;51;60;64;48;27
1;49;59;58;60;60;70;37
1;60;58;53;66;61;83;30
1;42;60;57;65;61;70;36
1;49;49;47;74;69;89;34
1;59;58;38;68;65;59;24
1;58;56;44;55;60;68;47
1;51;52;48;62;64;62;48
1;47;40;53;60;64;67;34
1;36;51;39;59;58;67;29
1;40;55;42;62;63;56;36
1;55;59;48;61;60;63;49
1;47;62;51;59;61;51;20
1;56;57;43;64;58;69;29
1;59;54;40;60;60;81;30
1;56;54;53;59;58;73;20
1;48;61;34;61;59;91;24
1;58;53;38;52;56;65;30
1;45;58;42;64;60;47;24
1;44;55;43;64;57;84;45
1;44;50;44;63;65;78;22
1;47;50;39;65;61;75;37
1;59;56;47;66;64;58;20
1;46;57;40;62;62;74;29
1;52;53;48;61;60;76;19
1;65;55;51;60;63;48;48
1;53;52;51;60;60;64;54
1;52;48;46;62;60;82;59
1;53;49;47;69;68;69;28
1;56;61;43;64;66;62;22
1;54;48;53;61;61;87;48
1;58;48;47;64;66;70;28
1;46;53;30;58;60;66;44
1;54;38;35;59;63;65;53
1;44;44;53;55;57;87;47
1;41;43;34;61;63;81;24
1;59;53;45;58;60;79;45
1;55;40;46;58;61;73;35
1;56;52;54;69;61;85;32
1;49;61;43;58;59;61;23
1;54;52;49;66;70;55;30
1;51;51;51;63;61;76;28
1;52;46;43;64;63;74;26
1;45;48;44;64;61;70;32
1;43;56;38;55;57;64;46
1;57;55;43;64;62;59;21
1;56;50;52;61;61;65;26
1;49;52;39;66;64;64;20
1;51;57;42;61;60;60;36
1;59;52;47;56;62;63;27
1;56;51;47;61;58;83;57
1;52;43;47;61;65;76;29
1;53;52;41;56;59;68;31
1;53;46;45;67;59;79;21
1;39;60;49;62;59;67;33
1;47;44;45;58;65;61;24
1;56;45;42;66;64;87;38
1;56;59;52;59;61;56;25
1;45;41;40;58;57;73;30
1;43;53;39;62;64;78;22
1;44;48;42;65;64;72;24
1;45;46;41;65;61;73;41
1;40;48;45;60;58;79;24
1;57;49;48;70;66;87;24
1;30;61;37;62;59;63;16
1;41;51;45;61;59;55;44
1;37;63;45;62;62;81;34
1;48;42;30;58;64;71;46
1;44;48;40;64;63;73;32
1;56;55;45;61;60;65;31
1;57;57;48;62;60;76;19
1;44;50;48;65;64;75;25
1;42;56;55;57;60;81;34
1;44;56;41;61;61;63;47
1;42;41;44;62;59;68;31
1;44;62;41;58;57;67;45
1;55;47;46;56;57;68;24
1;56;51;38;59;58;57;45
1;50;42;35;57;60;72;27
1;51;47;49;59;58;59;23
1;52;51;55;66;62;75;23
1;52;51;42;56;58;61;52
1;62;54;45;58;60;68;44
1;46;56;50;63;67;78;23
1;48;57;54;63;54;71;21
1;49;53;34;58;56;57;32
